Date,Open,High,Low,Close,Adj Close,Volume
2022-08-16,24126.136719,24228.416016,23733.500000,23883.291016,23883.291016,27753685646
2022-08-17,23881.316406,24407.058594,23243.353516,23335.998047,23335.998047,30931623076
2022-08-18,23341.039063,23563.832031,23177.601563,23212.738281,23212.738281,23747613147
2022-08-19,23213.312500,23213.312500,20868.847656,20877.552734,20877.552734,40509610260
2022-08-20,20872.841797,21350.806641,20856.730469,21166.060547,21166.060547,27595671000
2022-08-21,21160.392578,21668.845703,21103.197266,21534.121094,21534.121094,23102307723
2022-08-22,21531.462891,21531.462891,20939.183594,21398.908203,21398.908203,31666498758
2022-08-23,21401.044922,21646.203125,20955.138672,21528.087891,21528.087891,31878280659
2022-08-24,21526.455078,21783.076172,21195.005859,21395.019531,21395.019531,31962253368
2022-08-25,21395.458984,21789.636719,21362.441406,21600.904297,21600.904297,31028679593
2022-08-26,21596.085938,21804.908203,20199.482422,20260.019531,20260.019531,42326789564
2022-08-27,20262.480469,20340.775391,19890.523438,20041.738281,20041.738281,30116729776
2022-08-28,20041.035156,20139.054688,19616.814453,19616.814453,19616.814453,24366810591
2022-08-29,19615.154297,20357.462891,19600.785156,20297.994141,20297.994141,32637854078
2022-08-30,20298.611328,20542.644531,19617.640625,19796.808594,19796.808594,34483360283
2022-08-31,19799.582031,20420.990234,19799.582031,20049.763672,20049.763672,33225232872
2022-09-01,20050.498047,20198.390625,19653.968750,20127.140625,20127.140625,30182031010
2022-09-02,20126.072266,20401.568359,19814.765625,19969.771484,19969.771484,29123998928
2022-09-03,19969.718750,20037.009766,19698.355469,19832.087891,19832.087891,23613051457
2022-09-04,19832.470703,19999.689453,19636.816406,19986.712891,19986.712891,25245861652
2022-09-05,19988.789063,20031.160156,19673.046875,19812.371094,19812.371094,28813460025
2022-09-06,19817.724609,20155.269531,18800.171875,18837.667969,18837.667969,43403978910
2022-09-07,18837.683594,19427.171875,18644.466797,19290.324219,19290.324219,35239757134
2022-09-08,19289.941406,19417.351563,19076.714844,19329.833984,19329.833984,32194477850
2022-09-09,19328.140625,21439.410156,19310.962891,21381.152344,21381.152344,48469528171
2022-09-10,21376.912109,21760.275391,21168.722656,21680.539063,21680.539063,36913738894
2022-09-11,21678.542969,21770.552734,21406.945313,21769.255859,21769.255859,34493951963
2022-09-12,21770.148438,22439.181641,21603.896484,22370.449219,22370.449219,50212088965
2022-09-13,22371.480469,22673.820313,20062.669922,20296.707031,20296.707031,51091116622
2022-09-14,20184.554688,20467.201172,19793.396484,20241.089844,20241.089844,37872380889
2022-09-15,20242.289063,20318.166016,19636.734375,19701.210938,19701.210938,36389011503
2022-09-16,19704.005859,19870.628906,19400.076172,19772.583984,19772.583984,30123362273
2022-09-17,19777.033203,20162.531250,19777.033203,20127.576172,20127.576172,24957448100
2022-09-18,20127.234375,20127.234375,19387.492188,19419.505859,19419.505859,31254779144
2022-09-19,19418.572266,19639.480469,18390.318359,19544.128906,19544.128906,40177002624
2022-09-20,19545.591797,19602.457031,18813.455078,18890.789063,18890.789063,36791346508
2022-09-21,18891.283203,19674.630859,18290.314453,18547.400391,18547.400391,46363793975
2022-09-22,18534.650391,19456.910156,18415.591797,19413.550781,19413.550781,41135767926
2022-09-23,19412.400391,19464.671875,18617.552734,19297.638672,19297.638672,38896078052
2022-09-24,19296.990234,19310.197266,18861.974609,18937.011719,18937.011719,26149643168
2022-09-25,18936.310547,19134.732422,18696.468750,18802.097656,18802.097656,23359966112
2022-09-26,18803.900391,19274.873047,18721.285156,19222.671875,19222.671875,44148798321
2022-09-27,19221.839844,20338.455078,18915.667969,19110.546875,19110.546875,58571439619
2022-09-28,19104.621094,19688.343750,18553.296875,19426.720703,19426.720703,53071298734
2022-09-29,19427.779297,19589.265625,18924.353516,19573.050781,19573.050781,41037843771
2022-09-30,19573.431641,20109.849609,19265.662109,19431.789063,19431.789063,43975248085
2022-10-01,19431.105469,19471.154297,19231.082031,19312.095703,19312.095703,18719537670
2022-10-02,19311.849609,19370.308594,18970.621094,19044.107422,19044.107422,20765955327
2022-10-03,19044.068359,19653.542969,19025.226563,19623.580078,19623.580078,30484729489
2022-10-04,19623.583984,20380.343750,19523.839844,20336.843750,20336.843750,35887278685
2022-10-05,20335.900391,20343.748047,19801.800781,20160.716797,20160.716797,33223790572
2022-10-06,20161.039063,20408.392578,19900.087891,19955.443359,19955.443359,34711412966
2022-10-07,19957.558594,20041.085938,19395.792969,19546.849609,19546.849609,29227315390
2022-10-08,19546.328125,19601.695313,19299.414063,19416.568359,19416.568359,16437423167
2022-10-09,19417.478516,19542.539063,19349.259766,19446.425781,19446.425781,16837262532
2022-10-10,19446.416016,19515.466797,19102.978516,19141.484375,19141.484375,27425022774
2022-10-11,19139.000000,19241.960938,18925.603516,19051.417969,19051.417969,28711532910
2022-10-12,19052.646484,19203.199219,19029.757813,19157.445313,19157.445313,24950173846
2022-10-13,19156.966797,19453.328125,18319.822266,19382.904297,19382.904297,44219840004
2022-10-14,19382.533203,19889.146484,19115.408203,19185.656250,19185.656250,38452356727
2022-10-15,19185.437500,19212.541016,19019.250000,19067.634766,19067.634766,16192235532
2022-10-16,19068.914063,19389.603516,19068.914063,19268.093750,19268.093750,17988916650
2022-10-17,19268.562500,19635.802734,19173.333984,19550.757813,19550.757813,27472552998
2022-10-18,19550.466797,19666.994141,19144.769531,19334.416016,19334.416016,30580012344
2022-10-19,19335.027344,19348.416016,19127.687500,19139.535156,19139.535156,22425387184
2022-10-20,19138.085938,19315.199219,18971.458984,19053.740234,19053.740234,24493974420
2022-10-21,19053.203125,19237.384766,18770.970703,19172.468750,19172.468750,32459287866
2022-10-22,19172.380859,19248.068359,19132.244141,19208.189453,19208.189453,16104440957
2022-10-23,19207.734375,19646.652344,19124.197266,19567.007813,19567.007813,22128794335
2022-10-24,19567.769531,19589.125000,19206.324219,19345.572266,19345.572266,30202235805
2022-10-25,19344.964844,20348.412109,19261.447266,20095.857422,20095.857422,47761524910
2022-10-26,20092.236328,20938.134766,20076.117188,20770.441406,20770.441406,58895950537
2022-10-27,20772.802734,20854.044922,20255.373047,20285.835938,20285.835938,49625110402
2022-10-28,20287.957031,20724.980469,20086.068359,20595.351563,20595.351563,43994715910
2022-10-29,20595.103516,20988.394531,20566.484375,20818.476563,20818.476563,40369840645
2022-10-30,20817.982422,20917.005859,20547.462891,20635.603516,20635.603516,31486345556
2022-10-31,20633.695313,20795.320313,20287.458984,20495.773438,20495.773438,45668466815
2022-11-01,20494.898438,20647.289063,20359.845703,20485.273438,20485.273438,39819303159
2022-11-02,20482.958984,20742.810547,20087.134766,20159.503906,20159.503906,55552169483
2022-11-03,20162.689453,20382.095703,20086.240234,20209.988281,20209.988281,43228750179
2022-11-04,20208.769531,21209.560547,20188.019531,21147.230469,21147.230469,64072727950
2022-11-05,21144.832031,21446.886719,21097.634766,21282.691406,21282.691406,37846047609
2022-11-06,21285.056641,21345.376953,20920.191406,20926.486328,20926.486328,35082693210
2022-11-07,20924.621094,21053.246094,20489.972656,20602.816406,20602.816406,53510852236
2022-11-08,20600.671875,20664.607422,17603.544922,18541.271484,18541.271484,118992465607
2022-11-09,18543.761719,18590.458984,15682.692383,15880.780273,15880.780273,102905151606
2022-11-10,15883.158203,18054.312500,15834.018555,17586.771484,17586.771484,83202283721
2022-11-11,17583.251953,17650.943359,16543.482422,17034.292969,17034.292969,55871616488
2022-11-12,17036.875000,17066.675781,16651.775391,16799.185547,16799.185547,29717699419
2022-11-13,16799.722656,16920.765625,16320.634766,16353.365234,16353.365234,27209183682
2022-11-14,16352.028320,17109.324219,15872.941406,16618.199219,16618.199219,49630243054
2022-11-15,16617.484375,17051.962891,16542.550781,16884.613281,16884.613281,36599436183
